"SLI DAILY TRACKING REPORT as of __Aug.1, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"Cagayan","","28","6","34","3","0","32","8","239","3.35%",,,,
"Apayao","","3","1","4","0","0","4","0","9","0.00%",,,,
"OVER ALL TOTAL","2","236","56","292","25","45","224","83","1953","4.25%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 3, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","16","42","58","30","19","28","71","509","13.95%",,,,
"Mountain Province","","9","1","10","0","0","10","0","15","0.00%",,,,
"Ilocos Sur","","17","16","33","6","0","29","18","265","6.79%",,,,
"Ilocos Norte","","110","28","138","19","10","116","39","296","13.18%",,,,
"Abra","","-6","6","0","1","3","-4","2","43","4.65%",,,,
"Nueva Vizcaya","","18","12","30","7","0","24","8","222","3.60%",,,,
"Ifugao","","12","3","15","0","0","15","0","24","0.00%",,,,
"Isabela","","12","26","38","15","0","27","15","265","5.66%",,,,
"Quirino","","0","0","0","1","0","-1","1","38","2.63%",,,,
"Kalinga","","0","2","2","0","0","2","0","28","0.00%",,,,
"Cagayan","","32","17","49","3","0","47","11","239","4.60%",,,,
"Apayao","","4","1","5","0","0","5","0","9","0.00%",,,,
"OVER ALL TOTAL","34","224","154","378","82","32","298","165","1953","8.45%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 4, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","28","49","77","21","18","48","92","509","18.07%",,,,
"Mountain Province","","10","0","10","0","0","10","0","15","0.00%",,,,
"Ilocos Sur","","29","7","36","11","4","22","29","265","10.94%",,,,
"Ilocos Norte","","116","41","157","17","6","135","56","296","18.92%",,,,
"Abra","","-4","1","-3","0","0","-3","2","43","4.65%",,,,
"Nueva Vizcaya","","24","3","27","11","0","16","19","222","8.56%",,,,
"Ifugao","","15","3","18","1","0","17","1","24","4.17%",,,,
"Isabela","","27","16","43","11","9","23","26","265","9.81%",,,,
"Quirino","","-1","2","1","1","0","0","2","38","5.26%",,,,
"Kalinga","","2","1","3","1","0","3","1","28","3.57%",,,,
"Cagayan","","47","18","65","16","12","40","27","239","11.30%",,,,
"Apayao","","5","0","5","0","3","2","0","9","0.00%",,,,
"OVER ALL TOTAL","16","298","141","439","90","52","313","255","1953","13.06%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 5, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","48","48","96","31","4","78","123","509","24.17%",,,,
"Mountain Province","","10","1","11","2","0","11","2","15","13.33%",,,,
"Ilocos Sur","","22","16","38","12","6","22","41","265","15.47%",,,,
"Ilocos Norte","","135","32","167","2","0","165","58","296","19.59%",,,,
"Abra","","-3","3","0","1","0","-1","3","43","6.98%",,,,
"Nueva Vizcaya","","16","11","27","4","0","24","23","222","10.36%",,,,
"Ifugao","","17","1","18","3","0","15","4","24","16.67%",,,,
"Isabela","","23","19","42","19","4","19","45","265","16.98%",,,,
"Quirino","","0","1","1","0","0","1","2","38","5.26%",,,,
"Kalinga","","3","0","3","3","0","0","4","28","14.29%",,,,
"Cagayan","","40","13","53","0","13","40","27","239","11.30%",,,,
"Apayao","","2","0","2","0","0","2","0","9","0.00%",,,,
"OVER ALL TOTAL","22","313","145","458","77","27","376","332","1953","17.00%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 6, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","78","0","78","0","0","78","123","509","24.17%",,,,
"Mountain Province","","11","0","11","1","0","11","3","15","20.00%",,,,
"Ilocos Sur","","22","0","22","3","0","19","44","265","16.60%",,,,
"Ilocos Norte","","165","0","165","16","4","149","74","296","25.00%",,,,
"Abra","","-1","0","-1","0","0","-1","3","43","6.98%",,,,
"Nueva Vizcaya","","24","3","27","3","0","25","26","222","11.71%",,,,
"Ifugao","","15","0","15","0","0","15","4","24","16.67%",,,,
"Isabela","","19","4","23","6","0","17","51","265","19.25%",,,,
"Quirino","","1","0","1","1","0","0","3","38","7.89%",,,,
"Kalinga","","0","1","1","0","0","1","4","28","14.29%",,,,
"Cagayan","","40","6","46","2","0","46","29","239","12.13%",,,,
"Apayao","","2","0","2","0","0","2","0","9","0.00%",,,,
"OVER ALL TOTAL","8","376","14","390","32","4","362","364","1953","18.64%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 7, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","78","46","124","20","29","85","143","509","28.09%",,,,
"Mountain Province","","11","1","12","0","0","12","3","15","20.00%",,,,
"Ilocos Sur","","19","14","33","0","0","33","44","265","16.60%",,,,
"Ilocos Norte","","149","54","203","41","26","142","115","296","38.85%",,,,
"Abra","","-1","2","1","0","0","1","3","43","6.98%",,,,
"Nueva Vizcaya","","25","17","42","5","0","37","31","222","13.96%",,,,
"Ifugao","","15","1","16","2","0","14","6","24","25.00%",,,,
"Isabela","","17","27","44","5","1","38","56","265","21.13%",,,,
"Quirino","","0","3","3","0","0","3","3","38","7.89%",,,,
"Kalinga","","1","5","6","0","0","6","4","28","14.29%",,,,
"Cagayan","","46","15","61","26","0","37","55","239","23.01%",,,,
"Apayao","","2","1","3","0","0","3","0","9","0.00%",,,,
"OVER ALL TOTAL","18","362","186","548","99","56","411","463","1953","23.71%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 8, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","85","25","110","20","42","56","163","509","32.02%",,,,
"Mountain Province","","12","0","12","0","0","12","3","15","20.00%",,,,
"Ilocos Sur","","33","10","43","10","1","34","54","265","20.38%",,,,
"Ilocos Norte","","142","31","173","19","15","144","134","296","45.27%",,,,
"Abra","","1","1","2","0","1","1","3","43","6.98%",,,,
"Nueva Vizcaya","","37","10","47","13","0","34","44","222","19.82%",,,,
"Ifugao","","14","0","14","0","0","14","6","24","25.00%",,,,
"Isabela","","38","12","50","10","2","38","66","265","24.91%",,,,
"Quirino","","3","4","7","2","0","5","5","38","13.16%",,,,
"Kalinga","","6","5","11","2","0","9","6","28","21.43%",,,,
"Cagayan","","37","16","53","7","8","40","62","239","25.94%",,,,
"Apayao","","3","1","4","1","0","3","1","9","11.11%",,,,
"OVER ALL TOTAL","17","411","115","526","84","69","390","547","1953","28.01%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 9, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","56","0","56","0","0","56","163","509","32.02%",,,,
"Mountain Province","","12","0","12","0","0","12","3","15","20.00%",,,,
"Ilocos Sur","","34","0","34","5","0","30","59","265","22.26%",,,,
"Ilocos Norte","","144","1","145","8","0","138","142","296","47.97%",,,,
"Abra","","1","0","1","0","0","1","3","43","6.98%",,,,
"Nueva Vizcaya","","34","0","34","0","0","34","44","222","19.82%",,,,
"Ifugao","","14","0","14","0","0","14","6","24","25.00%",,,,
"Isabela","","38","0","38","7","0","32","73","265","27.55%",,,,
"Quirino","","5","0","5","0","0","5","5","38","13.16%",,,,
"Kalinga","","9","0","9","0","0","9","6","28","21.43%",,,,
"Cagayan","","40","0","40","4","5","32","66","239","27.62%",,,,
"Apayao","","3","0","3","1","0","3","2","9","22.22%",,,,
"OVER ALL TOTAL","5","390","1","391","25","5","366","572","1953","29.29%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 10, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","56","42","98","20","34","53","183","509","35.95%",,,,
"Mountain Province","","12","1","13","0","0","13","3","15","20.00%",,,,
"Ilocos Sur","","30","19","49","12","3","37","71","265","26.79%",,,,
"Ilocos Norte","","138","54","192","18","5","178","160","296","54.05%",,,,
"Abra","","1","1","2","1","2","-1","4","43","9.30%",,,,
"Nueva Vizcaya","","34","17","51","4","0","47","48","222","21.62%",,,,
"Ifugao","","14","1","15","1","0","14","7","24","29.17%",,,,
"Isabela","","32","12","44","7","0","37","80","265","30.19%",,,,
"Quirino","","5","5","10","0","0","10","5","38","13.16%",,,,
"Kalinga","","9","1","10","0","0","10","6","28","21.43%",,,,
"Cagayan","","32","10","42","14","1","34","80","239","33.47%",,,,
"Apayao","","3","1","4","0","0","4","2","9","22.22%",,,,
"OVER ALL TOTAL","28","366","164","530","77","45","436","649","1953","33.23%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 11, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","53","66","119","23","31","76","206","509","40.47%",,,,
"Mountain Province","","13","0","13","0","0","13","3","15","20.00%",,,,
"Ilocos Sur","","37","11","48","12","7","30","83","265","31.32%",,,,
"Ilocos Norte","","178","26","204","16","9","180","176","296","59.46%",,,,
"Abra","","-1","1","0","1","3","-4","5","43","11.63%",,,,
"Nueva Vizcaya","","47","14","61","3","0","58","51","222","22.97%",,,,
"Ifugao","","14","0","14","0","0","14","7","24","29.17%",,,,
"Isabela","","37","10","47","12","5","33","92","265","34.72%",,,,
"Quirino","","10","4","14","5","0","9","10","38","26.32%",,,,
"Kalinga","","10","1","11","5","0","6","11","28","39.29%",,,,
"Cagayan","","34","10","44","16","6","25","96","239","40.17%",,,,
"Apayao","","4","1","5","0","0","5","2","9","22.22%",,,,
"OVER ALL TOTAL","19","436","144","580","93","61","445","742","1953","37.99%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 12, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","76","45","121","32","12","98","238","509","46.76%",,,,
"Mountain Province","","13","1","14","0","0","14","3","15","20.00%",,,,
"Ilocos Sur","","30","17","47","15","3","33","98","265","36.98%",,,,
"Ilocos Norte","","180","47","227","23","9","200","199","296","67.23%",,,,
"Abra","","-4","3","-1","1","0","-2","6","43","13.95%",,,,
"Nueva Vizcaya","","58","12","70","1","0","69","52","222","23.42%",,,,
"Ifugao","","14","2","16","2","0","14","9","24","37.50%",,,,
"Isabela","","33","22","55","13","5","37","105","265","39.62%",,,,
"Quirino","","9","1","10","1","0","9","11","38","28.95%",,,,
"Kalinga","","6","0","6","1","0","5","12","28","42.86%",,,,
"Cagayan","","25","12","37","4","7","27","100","239","41.84%",,,,
"Apayao","","5","2","7","1","0","7","3","9","33.33%",,,,
"OVER ALL TOTAL","32","445","164","609","94","36","511","836","1953","42.81%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 13, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","98","51","149","38","3","134","276","509","54.22%",,,,
"Mountain Province","","14","1","15","0","0","15","3","15","20.00%",,,,
"Ilocos Sur","","33","15","48","12","2","36","110","265","41.51%",,,,
"Ilocos Norte","","200","29","229","18","6","216","217","296","73.31%",,,,
"Abra","","-2","6","4","5","0","-1","11","43","25.58%",,,,
"Nueva Vizcaya","","69","14","83","16","0","67","68","222","30.63%",,,,
"Ifugao","","14","1","15","0","0","15","9","24","37.50%",,,,
"Isabela","","37","11","48","18","6","24","123","265","46.42%",,,,
"Quirino","","9","1","10","3","1","6","14","38","36.84%",,,,
"Kalinga","","5","0","5","0","0","5","12","28","42.86%",,,,
"Cagayan","","27","9","36","9","5","25","109","239","45.61%",,,,
"Apayao","","7","4","11","0","1","10","3","9","33.33%",,,,
"OVER ALL TOTAL","42","511","142","653","119","24","552","955","1953","48.90%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 14, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","134","40","174","28","18","147","304","509","59.72%",,,,
"Mountain Province","","15","0","15","0","0","15","3","15","20.00%",,,,
"Ilocos Sur","","36","18","54","16","2","37","126","265","47.55%",,,,
"Ilocos Norte","","216","27","243","15","2","229","232","296","78.38%",,,,
"Abra","","-1","1","0","0","1","-1","11","43","25.58%",,,,
"Nueva Vizcaya","","67","5","72","20","26","29","88","222","39.64%",,,,
"Ifugao","","15","1","16","0","0","16","9","24","37.50%",,,,
"Isabela","","24","4","28","13","4","11","136","265","51.32%",,,,
"Quirino","","6","0","6","3","3","0","17","38","44.74%",,,,
"Kalinga","","5","0","5","0","0","5","12","28","42.86%",,,,
"Cagayan","","25","18","43","11","4","31","120","239","50.21%",,,,
"Apayao","","10","0","10","1","0","10","4","9","44.44%",,,,
"OVER ALL TOTAL","30","552","114","666","107","60","529","1062","1953","54.38%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 15, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","147","63","210","37","8","176","341","509","66.99%",,,,
"Mountain Province","","15","0","15","0","0","15","3","15","20.00%",,,,
"Ilocos Sur","","37","17","54","16","0","41","142","265","53.58%",,,,
"Ilocos Norte","","229","24","253","2","0","253","234","296","79.05%",,,,
"Abra","","-1","1","0","0","0","0","11","43","25.58%",,,,
"Nueva Vizcaya","","29","17","46","12","0","38","100","222","45.05%",,,,
"Ifugao","","16","2","18","0","0","18","9","24","37.50%",,,,
"Isabela","","11","9","20","4","4","12","140","265","52.83%",,,,
"Quirino","","0","2","2","1","0","1","18","38","47.37%",,,,
"Kalinga","","5","1","6","0","0","6","12","28","42.86%",,,,
"Cagayan","","31","9","40","7","0","35","127","239","53.14%",,,,
"Apayao","","10","0","10","0","0","10","4","9","44.44%",,,,
"OVER ALL TOTAL","22","529","145","674","79","12","605","1141","1953","58.42%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 16, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","176","24","200","6","28","169","347","509","68.17%",,,,
"Mountain Province","","15","0","15","0","0","15","3","15","20.00%",,,,
"Ilocos Sur","","41","4","45","6","0","39","148","265","55.85%",,,,
"Ilocos Norte","","253","12","265","9","9","247","243","296","82.09%",,,,
"Abra","","0","2","2","3","0","-1","14","43","32.56%",,,,
"Nueva Vizcaya","","38","2","40","1","0","39","101","222","45.50%",,,,
"Ifugao","","18","0","18","0","0","18","9","24","37.50%",,,,
"Isabela","","12","6","18","0","0","18","140","265","52.83%",,,,
"Quirino","","1","0","1","0","0","1","18","38","47.37%",,,,
"Kalinga","","6","0","6","0","0","6","12","28","42.86%",,,,
"Cagayan","","35","4","39","1","0","38","128","239","53.56%",,,,
"Apayao","","10","0","10","0","0","10","4","9","44.44%",,,,
"OVER ALL TOTAL","3","605","54","659","26","37","599","1167","1953","59.75%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 17, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","169","46","215","25","24","181","372","509","73.08%",,,,
"Mountain Province","","15","0","15","0","0","15","3","15","20.00%",,,,
"Ilocos Sur","","39","21","60","6","5","50","154","265","58.11%",,,,
"Ilocos Norte","","247","24","271","22","11","242","265","296","89.53%",,,,
"Abra","","-1","8","7","2","0","5","16","43","37.21%",,,,
"Nueva Vizcaya","","39","17","56","11","0","45","112","222","50.45%",,,,
"Ifugao","","18","1","19","0","0","19","9","24","37.50%",,,,
"Isabela","","18","23","41","8","5","29","148","265","55.85%",,,,
"Quirino","","1","2","3","2","1","2","20","38","52.63%",,,,
"Kalinga","","6","4","10","3","4","3","15","28","53.57%",,,,
"Cagayan","","38","18","56","14","4","41","142","239","59.41%",,,,
"Apayao","","10","0","10","1","1","9","5","9","55.56%",,,,
"OVER ALL TOTAL","27","599","164","763","94","55","641","1261","1953","64.57%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 18, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","181","64","245","37","35","189","409","509","80.35%",,,,
"Mountain Province","","15","1","16","0","0","16","3","15","20.00%",,,,
"Ilocos Sur","","50","20","70","16","5","51","170","265","64.15%",,,,
"Ilocos Norte","","242","28","270","18","19","235","283","296","95.61%",,,,
"Abra","","5","5","10","1","1","9","17","43","39.53%",,,,
"Nueva Vizcaya","","45","14","59","7","0","53","119","222","53.60%",,,,
"Ifugao","","19","0","19","2","0","17","11","24","45.83%",,,,
"Isabela","","29","13","42","19","5","18","167","265","63.02%",,,,
"Quirino","","2","2","4","1","1","2","21","38","55.26%",,,,
"Kalinga","","3","1","4","2","1","1","17","28","60.71%",,,,
"Cagayan","","41","9","50","2","7","42","144","239","60.25%",,,,
"Apayao","","9","1","10","1","0","10","6","9","66.67%",,,,
"OVER ALL TOTAL","24","641","158","799","106","74","643","1367","1953","69.99%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 19, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","189","51","240","31","32","196","440","509","86.44%",,,,
"Mountain Province","","16","1","17","0","0","17","3","15","20.00%",,,,
"Ilocos Sur","","51","14","65","9","7","50","179","265","67.55%",,,,
"Ilocos Norte","","235","35","270","32","14","233","315","296","106.42%",,,,
"Abra","","9","6","15","2","0","13","19","43","44.19%",,,,
"Nueva Vizcaya","","53","16","69","17","0","55","136","222","61.26%",,,,
"Ifugao","","17","4","21","1","1","19","12","24","50.00%",,,,
"Isabela","","18","16","34","10","2","23","177","265","66.79%",,,,
"Quirino","","2","3","5","1","2","2","22","38","57.89%",,,,
"Kalinga","","1","0","1","0","0","1","17","28","60.71%",,,,
"Cagayan","","42","13","55","14","11","33","158","239","66.11%",,,,
"Apayao","","10","1","11","0","0","11","6","9","66.67%",,,,
"OVER ALL TOTAL","36","643","160","803","117","69","653","1484","1953","75.99%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 20, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","196","49","245","33","48","183","473","509","92.93%",,,,
"Mountain Province","","17","0","17","0","0","17","3","15","20.00%",,,,
"Ilocos Sur","","50","15","65","8","5","52","187","265","70.57%",,,,
"Ilocos Norte","","233","15","248","24","3","225","339","296","114.53%",,,,
"Abra","","13","5","18","0","0","18","19","43","44.19%",,,,
"Nueva Vizcaya","","55","15","70","12","15","46","148","222","66.67%",,,,
"Ifugao","","19","4","23","0","9","14","12","24","50.00%",,,,
"Isabela","","23","9","32","9","1","22","186","265","70.19%",,,,
"Quirino","","2","1","3","0","2","1","22","38","57.89%",,,,
"Kalinga","","1","1","2","1","0","1","18","28","64.29%",,,,
"Cagayan","","33","5","38","8","11","23","166","239","69.46%",,,,
"Apayao","","11","0","11","0","1","10","6","9","66.67%",,,,
"OVER ALL TOTAL","30","653","119","772","95","95","612","1579","1953","80.85%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 21, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","183","62","245","29","20","219","502","509","98.62%",,,,
"Mountain Province","","17","0","17","0","0","17","3","15","20.00%",,,,
"Ilocos Sur","","52","16","68","12","7","52","199","265","75.09%",,,,
"Ilocos Norte","","225","24","249","40","9","206","379","296","128.04%",,,,
"Abra","","18","10","28","8","5","16","27","43","62.79%",,,,
"Nueva Vizcaya","","46","10","56","14","0","44","162","222","72.97%",,,,
"Ifugao","","14","0","14","2","0","12","14","24","58.33%",,,,
"Isabela","","22","12","34","17","0","18","203","265","76.60%",,,,
"Quirino","","1","0","1","2","0","-1","24","38","63.16%",,,,
"Kalinga","","1","0","1","2","0","0","20","28","71.43%",,,,
"Cagayan","","23","5","28","9","0","21","175","239","73.22%",,,,
"Apayao","","10","1","11","1","0","10","7","9","77.78%",,,,
"OVER ALL TOTAL","39","612","140","752","136","41","614","1715","1953","87.81%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 22, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","219","54","273","27","31","232","529","509","103.93%",,,,
"Mountain Province","","17","1","18","0","17","1","3","15","20.00%",,,,
"Ilocos Sur","","52","15","67","8","4","55","207","265","78.11%",,,,
"Ilocos Norte","","206","18","224","8","11","207","387","296","130.74%",,,,
"Abra","","16","5","21","1","2","19","28","43","65.12%",,,,
"Nueva Vizcaya","","44","10","54","8","27","20","170","222","76.58%",,,,
"Ifugao","","12","3","15","1","11","3","15","24","62.50%",,,,
"Isabela","","18","16","34","11","1","22","214","265","80.75%",,,,
"Quirino","","-1","3","2","0","0","2","24","38","63.16%",,,,
"Kalinga","","0","3","3","0","0","3","20","28","71.43%",,,,
"Cagayan","","21","3","24","10","11","5","185","239","77.41%",,,,
"Apayao","","10","1","11","0","6","5","7","9","77.78%",,,,
"OVER ALL TOTAL","23","614","132","746","74","121","574","1789","1953","91.60%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 23, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","232","41","273","21","1","267","550","509","108.06%",,,,
"Mountain Province","","1","2","3","0","0","3","3","15","20.00%",,,,
"Ilocos Sur","","55","0","55","12","10","34","219","265","82.64%",,,,
"Ilocos Norte","","207","8","215","34","8","174","421","296","142.23%",,,,
"Abra","","19","6","25","0","0","25","28","43","65.12%",,,,
"Nueva Vizcaya","","20","3","23","2","0","21","172","222","77.48%",,,,
"Ifugao","","3","1","4","3","0","1","18","24","75.00%",,,,
"Isabela","","22","0","22","3","0","20","217","265","81.89%",,,,
"Quirino","","2","1","3","0","0","3","24","38","63.16%",,,,
"Kalinga","","3","0","3","0","0","3","20","28","71.43%",,,,
"Cagayan","","5","3","8","0","0","8","185","239","77.41%",,,,
"Apayao","","5","0","5","0","3","2","7","9","77.78%",,,,
"OVER ALL TOTAL","19","574","65","639","75","22","561","1864","1953","95.44%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 24, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","267","58","325","27","15","300","577","509","113.36%",,,,
"Mountain Province","","3","1","4","0","0","4","3","15","20.00%",,,,
"Ilocos Sur","","34","8","42","11","2","33","230","265","86.79%",,,,
"Ilocos Norte","","174","15","189","15","14","162","436","296","147.30%",,,,
"Abra","","25","2","27","3","2","23","31","43","72.09%",,,,
"Nueva Vizcaya","","21","14","35","11","0","25","183","222","82.43%",,,,
"Ifugao","","1","1","2","3","0","2","21","24","87.50%",,,,
"Isabela","","20","20","40","14","6","20","231","265","87.17%",,,,
"Quirino","","3","1","4","2","0","2","26","38","68.42%",,,,
"Kalinga","","3","3","6","3","1","2","23","28","82.14%",,,,
"Cagayan","","8","9","17","6","0","14","191","239","79.92%",,,,
"Apayao","","2","2","4","0","1","3","7","9","77.78%",,,,
"OVER ALL TOTAL","31","561","134","695","95","41","590","1959","1953","100.31%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 25, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","300","51","351","37","14","314","614","509","120.63%",,,,
"Mountain Province","","4","0","4","0","0","4","3","15","20.00%",,,,
"Ilocos Sur","","33","19","52","16","9","33","246","265","92.83%",,,,
